0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:50 +0530] "GET /ACIMS/img/buttons/home.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:16:50 +0530] "GET /ACIMS/img/buttons/naac.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:17:59 +0530] "GET /ACIMS/img/buttons/abtus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:17:59 +0530] "GET /ACIMS/img/buttons/abtus.gif HTTP/1.1" 200 3910
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:01 +0530] "GET /ACIMS/Rahman.html HTTP/1.1" 200 8033
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:01 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:01 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:01 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:01 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:07 +0530] "GET /ACIMS/jagadeesh.jsp HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:07 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:07 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:07 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:07 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Apr/2016:13:18:09 +0530] "GET /ACIMS/yamini.jsp HTTP/1.1" 200 7717
