127.0.0.1 - - [17/Mar/2016:13:33:33 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:37 +0530] "GET /ACIMS/ HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:38 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:38 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:38 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:39 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:39 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:52 +0530] "GET /ACIMS/ HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:52 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/images_rotate.js HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/udm_control.js HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/dropdown.js HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/udm_custom.js HTTP/1.1" 200 10068
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/main.css HTTP/1.1" 200 23795
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/udm_slide.js HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/udm_style.js HTTP/1.1" 200 16180
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/dropdown/265.htm HTTP/1.1" 200 21333
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/sri.gif HTTP/1.1" 200 68418
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m021.jpg HTTP/1.1" 200 12104
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/buttons/abtus1.gif HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/buttons/college1.gif HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/buttons/jkc1.gif HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/buttons/home1.gif HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/buttons/naac1.gif HTTP/1.1" 200 3647
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /shadow_bg.jpg HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m13.gif HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m23.gif HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m33.gif HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m12.jpg HTTP/1.1" 200 14912
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m35.gif HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:53 +0530] "GET /ACIMS/img/m14.gif HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:54 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:33:54 +0530] "GET /ACIMS/img/buttons/home.gif HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:31 +0530] "GET /ACIMS/img/buttons/naac.gif HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:31 +0530] "GET /ACIMS/img/buttons/naac.gif HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:36 +0530] "GET /ACIMS/naacprof.html HTTP/1.1" 200 19487
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:36 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:36 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:36 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:36 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:40 +0530] "GET /ACIMS/whyaccr.html HTTP/1.1" 200 12999
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:40 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:40 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:40 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:40 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:43 +0530] "GET /ACIMS/accrproc.html HTTP/1.1" 200 12805
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:43 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:43 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:43 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:43 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /ACIMS/img/buttons/home.gif HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /ACIMS/index.jsp HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Mar/2016:13:34:45 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
