0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /ACIMS/letter/validate.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:47:40 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:49:03 +0530] "POST /ACIMS/onlineletter.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:49:16 +0530] "POST /ACIMS/onlineletter.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:49:37 +0530] "POST /ACIMS/onlineletter.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:49:52 +0530] "POST /ACIMS/onlineletter.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "POST /ACIMS/onlineletter.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/message.jsp? HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/letter/style.css HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/letter/validate.js HTTP/1.1" 404 1027
